Latitude,Longitude,PlaneModel,PlaneAirlines
29.584213,106.4871,Boeing 737NG 800/W,Kunming Airlines
34.208725,108.56524,Embraer EMB-190 LR,China Southern Airlines
-2147.483648,3.465328,,
37.002686,119.873055,Boeing 737NG 85N/W,Shandong Airlines
35.0524,-82.8429,BOEING 717-200,Delta Air Lines
59.513672,73.717888,Boeing 777 39LER,Air China
41.677567,-70.959351,1974 CESSNA 172M,"MARLBOROUGH AVIATION SERVICES DBA DONS FLYING SERVICE    - MARLBOROUGH, MA"
43.57196,19.333063,Airbus A319 111,Ernest Air
48.34124,11.759202,Airbus A319 132,Eurowings Europe
64.24558,-21.224707,,
28.555984,-14.994067,Airbus A320 214,SundAir
67.190826,45.259792,Boeing 737NG 8EH/W,GOL
41.237961,2.057495,Airbus A320 214,Vueling Airlines
40.121883,116.58935,Airbus A330 343E,Air China
41.155151,2.022766,Boeing 737NG 8F2/W,Turkish Airlines
31.040241,104.304695,Airbus A330 343E,Air China
40.65933,-73.751907,2009 BOEING 737-823,American Airlines
55.941101,14.05826,Aerospool WT9 Dynamic,Private
39.856541,-75.283691,Airbus A321 211SL,Frontier Airlines
62.17067,77.153214,Airbus A350 941,Asiana Airlines
48.214779,41.457401,Airbus A320 214SL,Aeroflot Russian Airlines
33.623005,112.550865,Airbus A320 214SL,Zhejiang Loong Airlines
-26.535004,157.884521,Boeing 737NG 86J/W,Fiji Airways
27.690529,111.01357,Boeing 737-8Q8,Shanghai Airlines
22.323486,113.98151,Airbus A330 243,Hong Kong Airlines
4.5488,101.945801,Avions de Transport Regional ATR 72 600,Malindo Air
27.718227,112.0747,Airbus A320 214SL,Chengdu Airlines
48.102474,14.90718,Diamond Aircraft Katana DA20-A1,Private
-2147.483648,0,,
54.841049,-10.615943,Boeing 777 300ER,Swiss International Air Lines
42.916787,-87.91469,1994 AIRBUS INDUSTRIE A300F4-605R,FedEx
14.525528,121.046606,Airbus A321 231SL,Philippine Airlines
34.627556,-92.499218,Textron Aviation Citation Mustang,Textron Aviation Inc
-36.90382,134.170059,Airbus A380 861,Emirates Airline
50.866859,7.14206,Airbus A321 231SL,Wizz Air
28.348434,109.13354,Airbus A320 214,China Eastern Airlines
31.102341,-90.381073,Boeing 737NG 8H4/W,Southwest Airlines
0.000042,0,,
30.586264,115.39957,Airbus A320 214SL,Capital Airlines
41.789432,-71.438088,2013 AIRBUS A321-211,American Airlines
-2147.483648,0,,
45.21735,47.554909,Airbus A321 211,Ural Airlines
42.968182,-71.457039,2013 EMBRAER S A ERJ170-200LR,"REPUBLIC AIRLINE INC     - INDIANAPOLIS, IN"
51.135223,-0.286906,Airbus A319 111,easyJet
26.19429,-81.714391,Bombardier Challenger 650,NetJets
42.040116,-72.65131,2005 AIRBUS A320-232,JetBlue Airways
34.972458,-89.845855,2012 BOEING 737-8H4,Southwest Airlines
30.336502,110.23768,Airbus A319 115,China Eastern Airlines
27.540909,111.0656,Boeing 737NG 86N/W,Lucky Air
55.636162,12.68389,Airbus A320 232,British Airways
22.114734,113.603973,Airbus A321 231SL,Air Macau
28.332275,112.85711,Boeing 737NG 87L/W,Shenzhen Airlines
-6.111052,-47.48111,Airbus A320 214,LATAM Airlines
38.879917,122.55414,Boeing 737NG 85N/W,Shandong Airlines
38.080616,116.55258,Boeing 737NG 800/W,Dalian Airlines
37.89798,23.924716,Boeing 737NG 85R,Ukraine International Airlines
50.684464,-10.727333,Boeing 747 4HQERF,Cargolux Airlines International
29.837082,119.6249,Boeing 737NG 84P/W,Hainan Airlines
19.461594,-99.02679,Airbus A321 231SL,Volaris
41.783707,-91.696701,Embraer EMB-175 200LR,American Eagle
55.35359,37.935292,Boeing 737NG 8K5/W,Belavia
52.56665,13.379669,Airbus A320 214,easyJet
32.945065,-80.041901,CESSNA 560XL,NetJets
37.90572,116.531624,Airbus A320 216SL,Longjiang Airlines
53.371078,-2.195932,Boeing 737NG 8AS/W,Ryanair
-23.57182,-46.683292,Boeing 737NG 76N/W,GOL
48.991379,2.468262,Boeing 777 368ER,Saudi Arabian Airlines
32.009598,34.704128,Boeing 737NG 8K5/W,Travel Service Airlines
24.669296,54.275513,Airbus A321 231,Gulf Air
50.3424,14.8504,Cessna 172Q Cutlass,Private
42.400942,-71.071132,2010 BOEING 737-823,American Airlines
-0.775085,-79.924835,Boeing 737NG 8V3/W,Copa Airlines
-1.393707,36.825846,Airbus A319 131,South African Airways
30.468207,-12.405432,Airbus A320 232SL,Vueling Airlines
59.785456,30.405042,Bombardier Challenger 605,Corporate
36.67483,120.65384,Airbus A320 214SL,Shenzhen Airlines
40.737167,-74.119507,Embraer EMB-175 200LR,United Express
19.960157,114.32598,Airbus A320 251NSL,AirAsia
24.604706,118.21249,Boeing 737NG 85N/W,Shandong Airlines
